,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18
1. open,214.8500,212.3400,214.9000,214.1700,211.5200,204.4000,201.0000,202.5000,203.6100,201.4700,200.4200,207.1900,209.2000,213.6600,205.0000,204.4700,205.4000,209.5600,206.1300,214.4800,213.6200,216.3300,210.0700,210.4500,208.8300,205.6800,203.1400,197.8800,195.7800,199.7300,197.8000,201.6043,202.0900,195.7900,198.5900,194.0000,195.0300,192.8900,184.5800,190.5400,193.1300,191.1250,188.0000,185.9400,182.6200,184.3000,184.8150,184.2500,182.5400,182.7300,180.7400,180.2000,186.3400,183.1900,185.4000,184.8100,185.0300,185.7500,179.0600,177.5400,182.5500,186.9000,183.1500,184.9797,184.1700,182.0800,180.6200,174.4900,175.8000,180.0000,173.2200,175.4556,176.5900,172.0600,174.1100,171.3900,173.5000,176.6300,179.5000,174.3000,171.2000,169.0000,164.3500,166.3600,165.6700,169.5923,160.3200,155.1000,151.8600,153.0000,159.4000,152.4400,151.7500,148.4000,148.9100,143.7500,137.0100,146.0000,142.7700,138.0000
2. high,215.7000,216.3705,215.0000,214.7700,217.6400,205.1000,204.4600,204.6500,204.7000,203.9700,202.8600,210.9200,212.3000,213.9400,212.3000,205.0400,205.7000,211.3300,208.8500,215.8000,214.0800,216.3800,213.2600,214.6700,211.1300,208.0200,206.3500,204.4000,198.5300,199.8900,200.6100,203.2500,203.9500,200.7600,199.2900,196.4900,196.3200,195.5800,190.8200,191.7200,195.7600,198.5200,190.7000,188.5500,187.7300,185.8400,185.9400,185.0000,183.0000,184.2700,184.1474,181.9877,186.5000,184.4600,186.6700,185.8500,186.6000,186.2000,187.0600,180.6900,184.0500,187.0400,187.5100,185.0000,184.5500,184.2000,183.6500,179.0000,178.6400,180.4000,177.6800,175.6700,176.9000,174.5600,175.0600,174.0000,173.6699,178.7500,180.0000,177.2800,173.5700,173.7500,165.5700,167.3700,166.6700,170.0000,166.5000,157.3800,155.4800,157.7500,164.7800,160.6000,154.8900,156.6600,154.3300,149.6000,140.5700,147.1000,150.1500,146.0000
3. low,210.9300,211.5500,211.5700,210.3100,210.4400,199.0100,199.5700,202.0100,201.7400,200.8600,197.5100,202.1500,208.3900,208.0300,203.0100,201.3900,202.3100,205.0300,202.0300,206.5000,211.0800,211.4700,208.6900,207.9900,208.0900,205.0000,201.7700,197.7400,193.5500,194.8800,195.4675,196.5600,201.4250,195.2301,194.3700,194.0000,193.6900,191.4600,184.0100,185.1800,186.0700,191.0100,187.2605,184.4400,182.0100,182.3000,183.5800,181.3500,181.4600,180.4100,180.3800,176.6000,181.1000,182.5400,183.2900,183.9400,183.4900,183.9600,177.0000,175.6800,176.5400,182.3000,182.8500,183.3600,182.5800,181.6306,179.9000,173.8000,174.0100,176.2300,171.8800,169.3900,173.3000,170.7100,170.9100,170.8200,166.1102,174.9900,175.8700,172.9000,169.2400,168.0000,162.3000,163.3300,163.5000,163.2600,157.5800,152.1900,150.3600,150.8200,156.5600,150.0100,149.2000,148.3700,144.4400,141.2700,132.5200,135.8600,139.0000,135.0200
4. close,212.4800,216.3500,212.9400,213.2900,216.5400,205.0100,203.9000,204.0600,202.0200,203.8500,201.3000,202.5400,211.7500,208.7500,211.6000,202.8800,203.9200,208.0400,208.3500,207.0700,213.6700,214.3200,212.8300,208.2500,210.7000,206.2600,204.7000,203.5100,198.4400,196.3300,200.3400,197.8400,201.9100,200.5700,195.1500,196.3200,194.2400,193.5700,188.9400,187.7400,186.2700,196.8400,189.8000,188.3600,187.2000,182.9200,185.3600,184.9100,182.8300,183.2500,181.4000,181.8100,181.5700,183.5100,183.4300,185.6600,183.6300,184.9100,183.1600,180.5300,179.7500,182.5100,186.7400,184.6800,183.6000,182.5400,180.7600,178.8400,174.5700,179.2100,177.4300,169.8100,174.0500,174.5500,171.4200,173.5200,167.8200,175.0600,178.6000,177.0400,171.8800,173.7000,165.5100,165.1400,165.1300,163.4900,165.2700,153.8300,155.2600,152.1100,157.7100,160.2300,149.7000,156.1100,146.9200,148.3400,135.9800,137.3500,142.7100,140.4000
5. adjusted close,212.4800,216.3500,212.9400,213.2900,216.5400,205.0100,203.9000,204.0600,202.0200,203.8500,201.3000,202.5400,211.7500,208.7500,211.6000,202.8800,203.9200,208.0400,208.3500,207.0700,213.6700,214.3200,212.8300,208.2500,210.7000,206.2600,204.7000,203.5100,198.4400,196.3300,200.3400,197.8400,201.9100,200.5700,195.1500,196.3200,194.2400,193.5700,188.9400,187.7400,186.2700,196.8400,189.8000,188.3600,187.2000,182.9200,185.3600,184.9100,182.8300,183.2500,181.4000,181.8100,181.5700,183.5100,183.4300,185.6600,183.1270,184.4035,182.6582,180.0355,179.2576,182.0100,186.2284,184.1741,183.0970,182.0399,180.2648,178.3501,174.0918,178.7191,176.9439,169.3448,173.5732,174.0718,170.9504,173.0447,167.3603,174.5804,178.1107,176.5550,171.4091,173.2242,165.0566,164.6876,164.6776,163.0421,164.8173,153.4086,154.8347,151.6933,157.2780,159.7911,149.2899,155.6823,146.5175,147.9336,135.6075,136.9737,142.3191,140.0154
6. volume,27820421,32656843,28858621,49280056,78983009,51247969,25079596,19632602,23251388,30160867,39826989,67457035,49605692,37702523,36386080,31636070,29940718,32248893,37598121,38135816,26178663,33122280,33602226,33600749,32033747,29322547,32071431,34310283,26701586,54675780,27803933,36740647,30917447,32818929,44441141,23061648,25687822,42556656,32770189,43373587,52854672,43872329,29783916,33211590,39893643,28761809,27311016,30794585,22668821,42146720,33831824,39517146,36073609,20826898,29032741,31261334,26799116,35306620,46610382,41873911,44711488,32038199,30892660,30912638,28315992,32139299,36839168,30372862,39370474,53875857,51286559,34392694,33194384,34305320,32790804,34651604,56203749,36669595,52765625,50479610,40940833,52874338,41905264,51431775,48318234,62769038,67111697,41243284,49630735,57969926,77927186,63420326,57042291,64694427,75638224,82516727,78975176,84866215,85922661,81593173
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
